"news.i-telligent.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.i-telligent.com' doesn't match either of 'reader.i-telligent.com', 'www.reader.i-telligent.com'"
"news.maximumusenet.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.mijnusenet.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.mijnusenet.nl' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.newsdemon.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.newsdemon.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.newsgrabber.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.newsgroupdirect.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.newsgroup.ninja","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.newsgroup.ninja' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.newsguy.com","IPv4-only","TLSv1","NOK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.newshosting.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.newsleecher.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.newsleecher.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.newsrazor.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.newsrazor.net' doesn't match either of '*.newshosting.com', 'newshosting.com'"
"news.newsxs.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.ngroups.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.ngroups.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.nntpjunkie.com","IPv4-only","TLSv1","NOK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.powerusenet.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.pureusenet.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.smsusenet.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.snelnl.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.snelnl.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.sonic-news.com","IPv4-only","TLSv1","OK","OK","OK","-","-"
"news.speedplaza.net","IPv4-only","TLSv1.2","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.ssl-news.info","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.ssl-news.info' doesn't match either of 'reader.ssl-news.info', 'www.reader.ssl-news.info'"
